Calibration Curve UV	
0.22167	9.000
0.22333	9.000
0.22500	9.000
0.22667	9.000
0.22833	9.000
0.23000	9.000
0.23167	9.000
0.23333	9.000
0.23500	9.000
0.23667	9.000
0.23833	9.000
0.24000	9.000
0.24167	9.000
0.24333	9.000
0.24500	9.000
0.24667	9.000
0.24833	9.000
0.25000	9.000
0.25167	9.000
0.25333	9.000
0.25500	9.000
0.25667	9.000
0.25833	9.000
0.26000	9.000
0.26167	9.000
0.26333	9.000
0.26500	9.000
0.26667	9.000
0.26833	9.000
0.27000	9.000
0.27167	9.000
0.27333	9.000
0.27500	9.000
0.27667	9.000
0.27833	9.000
0.28000	9.000
0.28167	9.000
0.28333	9.000
0.28500	9.000
0.28667	9.000
0.28833	9.000
0.29000	9.000
0.29167	9.000
0.29333	9.000
0.29500	9.000
0.29667	9.000
0.29833	9.000
0.30000	9.000
0.30167	9.000
0.30333	9.000
0.30500	9.000
0.30667	9.000
0.30833	9.000
0.31000	9.000
0.31167	9.000
0.31333	9.000
0.31500	9.000
0.31667	9.000
0.31833	9.000
0.32000	9.000
0.32167	9.000
0.32333	9.000
0.32500	9.000
0.32667	9.000
0.32833	9.000
0.33000	9.000
0.33167	9.000
0.33333	9.000
0.33500	9.000
0.33667	9.000
0.33833	9.000
0.34000	9.000
0.34167	9.000
0.34333	9.000
0.34500	9.000
0.34667	9.000
0.34833	9.000
0.35000	9.000
0.35167	9.000
0.35333	9.000
0.35500	9.000
0.35667	9.000
0.35833	9.000
0.36000	9.000
0.36167	9.000
0.36333	9.000
0.36500	9.000
0.36667	9.000
0.36833	9.000
0.37000	9.000
0.37167	9.000
0.37333	9.000
0.37500	9.000
0.37667	9.000
0.37833	9.000
0.38000	9.000
0.38167	9.000
0.38333	9.000
0.38500	9.000
0.38667	9.000
0.38833	9.000
0.39000	9.000
0.39167	9.000
0.39333	9.000
0.39500	9.000
0.39667	9.000
0.39833	9.000
0.40000	9.000
0.40167	9.000
0.40333	9.000
0.40500	9.000
0.40667	9.000
0.40833	9.000
0.41000	9.000
0.41167	9.000
0.41333	9.000
0.41500	9.000
0.41667	9.000
0.41833	9.000
0.42000	9.000
0.42167	9.000
0.42333	9.000
0.42500	9.000
0.42667	9.000
0.42833	9.000
0.43000	9.000
0.43167	9.000
0.43333	9.000
0.43500	9.000
0.43667	9.000
0.43833	9.000
0.44000	9.000
0.44167	9.000
0.44333	9.000
0.44500	9.000
0.44667	9.000
0.44833	9.000
0.45000	9.000
0.45167	9.000
0.45333	9.000
0.45500	9.000
0.45667	9.000
0.45833	9.000
0.46000	9.000
0.46167	9.000
0.46333	9.000
0.46500	9.000
0.46667	9.000
0.46833	9.000
0.47000	9.000
0.47167	9.000
0.47333	9.000
0.47500	9.000
0.47667	9.000
0.47833	9.000
0.48000	9.000
0.48167	9.000
0.48333	9.000
0.48500	9.000
0.48667	9.000
0.48833	9.000
0.49000	9.000
0.49167	9.000
0.49333	9.000
0.49500	9.000
0.49667	9.000
0.49833	9.000
0.50000	9.000
0.50167	9.000
0.50333	9.000
0.50500	9.000
0.50667	9.000
0.50833	9.000
0.51000	9.000
0.51167	9.000
0.51333	9.000
0.51500	9.000
0.51667	9.000
0.51833	9.000
0.52000	9.000
0.52167	9.000
0.52333	9.000
0.52500	9.000
0.52667	9.000
0.52833	9.000
0.53000	9.000
0.53167	9.000
0.53333	9.000
0.53500	9.000
0.53667	9.000
0.53833	9.000
0.54000	9.000
0.54167	9.000
0.54333	9.000
0.54500	9.000
0.54667	9.000
0.54833	9.000
0.55000	9.000
0.55167	9.000
0.55333	9.000
0.55500	9.000
0.55667	9.000
0.55833	9.000
0.56000	9.000
0.56167	9.000
0.56333	9.000
0.56500	9.000
0.56667	9.000
0.56833	9.000
0.57000	9.000
0.57167	9.000
0.57333	9.000
0.57500	9.000
0.57667	9.000
0.57833	9.000
0.58000	9.000
0.58167	9.000
0.58333	9.000
0.58500	9.000
0.58667	9.000
0.58833	9.000
0.59000	9.000
0.59167	9.000
0.59333	9.000
0.59500	9.000
0.59667	9.000
0.59833	9.000
0.60000	9.000
0.60167	9.000
0.60333	9.000
0.60500	9.000
0.60667	9.000
0.60833	9.000
0.61000	9.000
0.61167	9.000
0.61333	9.000
0.61500	9.000
0.61667	9.000
0.61833	9.000
0.62000	9.000
0.62167	9.000
0.62333	9.000
0.62500	9.000
0.62667	9.000
0.62833	9.000
0.63000	9.000
0.63167	9.000
0.63333	9.000
0.63500	9.000
0.63667	9.000
0.63833	9.000
0.64000	9.000
0.64167	9.000
0.64333	9.000
0.64500	9.000
0.64667	9.000
0.64833	9.000
0.65000	9.000
0.65167	9.000
0.65333	9.000
0.65500	9.000
0.65667	9.000
0.65833	9.000
0.66000	9.000
0.66167	9.000
0.66333	9.000
0.66500	9.000
0.66667	9.000
0.66833	9.000
0.67000	9.000
0.67167	9.000
0.67333	9.000
0.67500	9.000
0.67667	9.000
0.67833	9.000
0.68000	9.000
0.68167	9.000
0.68333	9.000
0.68500	9.000
0.68667	9.000
0.68833	9.000
0.69000	9.000
0.69167	9.000
0.69333	9.000
0.69500	9.000
0.69667	9.000
0.69833	9.000
0.70000	9.000
0.70167	9.000
0.70333	9.000
0.70500	9.000
0.70667	9.000
0.70833	9.000
0.71000	9.000
0.71167	9.000
0.71333	9.000
0.71500	9.000
0.71667	9.000
0.71833	9.000
0.72000	9.000
0.72167	9.000
0.72333	9.000
0.72500	9.000
0.72667	9.000
0.72833	9.000
0.73000	9.000
0.73167	9.000
0.73333	9.000
0.73500	9.000
0.73667	9.000
0.73833	9.000
0.74000	9.000
0.74167	9.000
0.74333	9.000
0.74500	9.000
0.74667	9.000
0.74833	9.000
0.75000	9.000
0.75167	9.000
0.75333	9.000
0.75500	9.000
0.75667	9.000
0.75833	9.000
0.76000	9.000
0.76167	9.000
0.76333	9.000
0.76500	9.000
0.76667	9.000
0.76833	9.000
0.77000	9.000
0.77167	9.000
0.77333	9.000
0.77500	9.000
0.77667	9.000
0.77833	9.000
0.78000	9.000
0.78167	9.000
0.78333	9.000
0.78500	9.000
0.78667	9.000
0.78833	9.000
0.79000	9.000
0.79167	9.000
0.79333	9.000
0.79500	9.000
0.79667	9.000
0.79833	9.000
0.80000	9.000
0.80167	9.000
0.80333	9.000
0.80500	9.000
0.80667	9.000
0.80833	9.000
0.81000	9.000
0.81167	9.000
0.81333	9.000
0.81500	9.000
0.81667	9.000
0.81833	9.000
0.82000	9.000
0.82167	9.000
0.82333	9.000
0.82500	9.000
0.82667	9.000
0.82833	9.000
0.83000	9.000
0.83167	9.000
0.83333	9.000
0.83500	9.000
0.83667	9.000
0.83833	9.000
0.84000	9.000
0.84167	9.000
0.84333	9.000
0.84500	9.000
0.84667	9.000
0.84833	9.000
0.85000	9.000
0.85167	9.000
0.85333	9.000
0.85500	9.000
0.85667	9.000
0.85833	9.000
0.86000	9.000
0.86167	9.000
0.86333	9.000
0.86500	9.000
0.86667	9.000
0.86833	9.000
0.87000	9.000
0.87167	9.000
0.87333	9.000
0.87500	9.000
0.87667	9.000
0.87833	9.000
0.88000	9.000
0.88167	9.000
0.88333	9.000
0.88500	9.000
0.88667	9.000
0.88833	9.000
0.89000	9.000
0.89167	9.000
0.89333	9.000
0.89500	9.000
0.89667	9.000
0.89833	9.000
0.90000	9.000
0.90167	9.000
0.90333	9.000
0.90500	9.000
0.90667	9.000
0.90833	9.000
0.91000	9.000
0.91167	9.000
0.91333	9.000
0.91500	9.000
0.91667	9.000
0.91833	9.000
0.92000	9.000
0.92167	9.000
0.92333	9.000
0.92500	9.000
0.92667	9.000
0.92833	9.000
0.93000	9.000
0.93167	9.000
0.93333	9.000
0.93500	9.000
0.93667	9.000
0.93833	9.000
0.94000	9.000
0.94167	9.000
0.94333	9.000
0.94500	9.000
0.94667	9.000
0.94833	9.000
0.95000	9.000
0.95167	9.000
0.95333	9.000
0.95500	9.000
0.95667	9.000
0.95833	9.000
0.96000	9.000
0.96167	9.000
0.96333	9.000
0.96500	9.000
0.96667	9.000
0.96833	9.000
0.97000	9.000
0.97167	9.000
0.97333	9.000
0.97500	9.000
0.97667	9.000
0.97833	9.000
0.98000	9.000
0.98167	9.000
0.98333	9.000
0.98500	9.000
0.98667	9.000
0.98833	9.000
0.99000	9.000
0.99167	9.000
0.99333	9.000
0.99500	9.000
0.99667	9.000
0.99833	9.000
1.00000	9.000
1.00167	9.000
1.00333	9.000
1.00500	9.000
1.00667	9.000
1.00833	9.000
1.01000	9.000
1.01167	9.000
1.01333	9.000
1.01500	9.000
1.01667	9.000
1.01833	9.000
1.02000	9.000
1.02167	9.000
1.02333	9.000
1.02500	9.000
1.02667	9.000
1.02833	9.000
1.03000	9.000
1.03167	9.000
1.03333	9.000
1.03500	9.000
1.03667	9.000
1.03833	9.000
1.04000	9.000
1.04167	9.000
1.04333	9.000
1.04500	9.000
1.04667	9.000
1.04833	9.000
1.05000	9.000
1.05167	9.000
1.05333	9.000
1.05500	9.000
1.05667	9.000
1.05833	9.000
1.06000	9.000
1.06167	9.000
1.06333	9.000
1.06500	9.000
1.06667	9.000
1.06833	9.000
1.07000	9.000
1.07167	9.000
1.07333	9.000
1.07500	9.000
1.07667	9.000
1.07833	9.000
1.08000	9.000
1.08167	9.000
1.08333	9.000
1.08500	9.000
1.08667	9.000
1.08833	9.000
1.09000	9.000
1.09167	9.000
1.09333	9.000
1.09500	9.000
1.09667	9.000
1.09833	9.000
1.10000	9.000
1.10167	9.000
1.10333	9.000
1.10500	9.000
1.10667	9.000
1.10833	9.000
1.11000	9.000
1.11167	9.000
1.11333	9.000
1.11500	9.000
1.11667	9.000
1.11833	9.000
1.12000	9.000
1.12167	9.000
1.12333	9.000
1.12500	9.000
1.12667	9.000
1.12833	9.000
1.13000	9.000
1.13167	9.000
1.13333	9.000
1.13500	9.000
1.13667	9.000
1.13833	9.000
1.14000	9.000
1.14167	9.000
1.14333	9.000
1.14500	9.000
1.14667	9.000
1.14833	9.000
1.15000	9.000
1.15167	9.000
1.15333	9.000
1.15500	9.000
1.15667	9.000
1.15833	9.000
1.16000	9.000
1.16167	9.000
1.16333	9.000
1.16500	9.000
1.16667	9.000
1.16833	9.000
1.17000	9.000
1.17167	9.000
1.17333	9.000
1.17500	9.000
1.17667	9.000
1.17833	9.000
1.18000	9.000
1.18167	9.000
1.18333	9.000
1.18500	9.000
1.18667	9.000
1.18833	9.000
1.19000	9.000
1.19167	9.000
1.19333	9.000
1.19500	9.000
1.19667	9.000
1.19833	9.000
1.20000	9.000
1.20167	9.000
1.20333	9.000
1.20500	9.000
1.20667	9.000
1.20833	9.000
1.21000	9.000
1.21167	9.000
1.21333	9.000
1.21500	9.000
1.21667	9.000
1.21833	9.000
1.22000	9.000
1.22167	9.000
1.22333	9.000
1.22500	9.000
1.22667	9.000
1.22833	9.000
1.23000	9.000
1.23167	9.000
1.23333	9.000
1.23500	9.000
1.23667	9.000
1.23833	9.000
1.24000	9.000
1.24167	9.000
1.24333	9.000
1.24500	9.000
1.24667	9.000
1.24833	9.000
1.25000	9.000
1.25167	9.000
1.25333	9.000
1.25500	9.000
1.25667	9.000
1.25833	9.000
1.26000	9.000
1.26167	9.000
1.26333	9.000
1.26500	9.000
1.26667	9.000
1.26833	9.000
1.27000	9.000
1.27167	9.000
1.27333	9.000
1.27500	9.000
1.27667	9.000
1.27833	9.000
1.28000	9.000
1.28167	9.000
1.28333	9.000
1.28500	9.000
1.28667	9.000
1.28833	9.000
1.29000	9.000
1.29167	9.000
1.29333	9.000
1.29500	9.000
1.29667	9.000
1.29833	9.000
1.30000	9.000
1.30167	9.000
1.30333	9.000
1.30500	9.000
1.30667	9.000
1.30833	9.000
1.31000	9.000
1.31167	9.000
1.31333	9.000
1.31500	9.000
1.31667	9.000
1.31833	9.000
1.32000	9.000
1.32167	9.000
1.32333	9.000
1.32500	9.000
1.32667	9.000
1.32833	9.000
1.33000	9.000
1.33167	9.000
1.33333	9.000
1.33500	9.000
1.33667	9.000
1.33833	9.000
1.34000	9.000
1.34167	9.000
1.34333	9.000
1.34500	9.000
1.34667	9.000
1.34833	9.000
1.35000	9.000
1.35167	9.000
1.35333	9.000
1.35500	9.000
1.35667	9.000
1.35833	9.000
1.36000	9.000
1.36167	9.000
1.36333	9.000
1.36500	9.000
1.36667	9.000
1.36833	9.000
1.37000	9.000
1.37167	9.000
1.37333	9.000
1.37500	9.000
1.37667	9.000
1.37833	9.000
1.38000	9.000
1.38167	9.000
1.38333	9.000
1.38500	9.000
1.38667	9.000
1.38833	9.000
1.39000	9.000
1.39167	9.000
1.39333	9.000
1.39500	9.000
1.39667	9.000
1.39833	9.000
1.40000	9.000
1.40167	9.000
1.40333	9.000
1.40500	9.000
1.40667	9.000
1.40833	9.000
1.41000	9.000
1.41167	9.000
1.41333	9.000
1.41500	9.000
1.41667	9.000
1.41833	9.000
1.42000	9.000
1.42167	9.000
1.42333	9.000
1.42500	9.000
1.42667	9.000
1.42833	9.000
1.43000	9.000
1.43167	9.000
1.43333	9.000
1.43500	9.000
1.43667	9.000
1.43833	9.000
1.44000	9.000
1.44167	9.000
1.44333	9.000
1.44500	9.000
1.44667	9.000
1.44833	9.000
1.45000	9.000
1.45167	9.000
1.45333	9.000
1.45500	9.000
1.45667	9.000
1.45833	9.000
1.46000	9.000
1.46167	9.000
1.46333	9.000
1.46500	9.000
1.46667	9.000
1.46833	9.000
1.47000	9.000
1.47167	9.000
1.47333	9.000
1.47500	9.000
1.47667	9.000
1.47833	9.000
1.48000	9.000
1.48167	9.000
1.48333	9.000
1.48500	9.000
1.48667	9.000
1.48833	9.000
1.49000	9.000
1.49167	9.000
1.49333	9.000
1.49500	9.000
1.49667	9.000
1.49833	9.000
1.50000	9.000
1.50167	9.000
1.50333	9.000
1.50500	9.000
1.50667	9.000
1.50833	9.000
1.51000	9.000
1.51167	9.000
1.51333	9.000
1.51500	9.000
1.51667	9.000
1.51833	9.000
1.52000	9.000
1.52167	9.000
1.52333	9.000
1.52500	9.000
1.52667	9.000
1.52833	9.000
1.53000	9.000
1.53167	9.000
1.53333	9.000
1.53500	9.000
1.53667	9.000
1.53833	9.000
1.54000	9.000
1.54167	9.000
1.54333	9.000
1.54500	9.000
1.54667	9.000
1.54833	9.000
1.55000	9.000
1.55167	9.000
1.55333	9.000
1.55500	9.000
1.55667	9.000
1.55833	9.000
1.56000	9.000
1.56167	9.000
1.56333	9.000
1.56500	9.000
1.56667	9.000
1.56833	9.000
1.57000	9.000
1.57167	9.000
1.57333	9.000
1.57500	9.000
1.57667	9.000
1.57833	9.000
1.58000	9.000
1.58167	9.000
1.58333	9.000
1.58500	9.000
1.58667	9.000
1.58833	9.000
1.59000	9.000
1.59167	9.000
1.59333	9.000
1.59500	9.000
1.59667	9.000
1.59833	9.000
1.60000	9.000
1.60167	9.000
1.60333	9.000
1.60500	9.000
1.60667	9.000
1.60833	9.000
1.61000	9.000
1.61167	9.000
1.61333	9.000
1.61500	9.000
1.61667	9.000
1.61833	9.000
1.62000	9.000
1.62167	9.000
1.62333	9.000
1.62500	9.000
1.62667	9.000
1.62833	9.000
1.63000	9.000
1.63167	9.000
1.63333	9.000
1.63500	9.000
1.63667	9.000
1.63833	9.000
1.64000	9.000
1.64167	9.000
1.64333	9.000
1.64500	9.000
1.64667	9.000
1.64833	9.000
1.65000	9.000
1.65167	9.000
1.65333	9.000
1.65500	9.000
1.65667	9.000
1.65833	9.000
1.66000	9.000
1.66167	9.000
1.66333	9.000
1.66500	9.000
1.66667	9.000
1.66833	9.000
1.67000	9.000
1.67167	9.000
1.67333	9.000
1.67500	9.000
1.67667	9.000
1.67833	9.000
1.68000	9.000
1.68167	9.000
1.68333	9.000
1.68500	9.000
1.68667	9.000
1.68833	9.000
1.69000	9.000
1.69167	9.000
1.69333	9.000
1.69500	9.000
1.69667	9.000
1.69833	9.000
1.70000	9.000
1.70167	9.000
1.70333	9.000
1.70500	9.000
1.70667	9.000
1.70833	9.000
1.71000	9.000
1.71167	9.000
1.71333	9.000
1.71500	9.000
1.71667	9.000
1.71833	9.000
1.72000	9.000
1.72167	9.000
1.72333	9.000
1.72500	9.000
1.72667	9.000
1.72833	9.000
1.73000	9.000
1.73167	9.000
1.73333	9.000
1.73500	9.000
1.73667	9.000
1.73833	9.000
1.74000	9.000
1.74167	9.000
1.74333	9.000
1.74500	9.000
1.74667	9.000
1.74833	9.000
1.75000	9.000
1.75167	9.000
1.75333	9.000
1.75500	9.000
1.75667	9.000
1.75833	9.000
1.76000	9.000
1.76167	9.000
1.76333	9.000
1.76500	9.000
1.76667	9.000
1.76833	9.000
1.77000	9.000
1.77167	9.000
1.77333	9.000
1.77500	9.000
1.77667	9.000
1.77833	9.000
1.78000	9.000
1.78167	9.000
1.78333	9.000
1.78500	9.000
1.78667	9.000
1.78833	9.000
1.79000	9.000
1.79167	9.000
1.79333	9.000
1.79500	9.000
1.79667	9.000
1.79833	9.000
1.80000	9.000
1.80167	9.000
1.80333	9.000
1.80500	9.000
1.80667	9.000
1.80833	9.000
1.81000	9.000
1.81167	9.000
1.81333	9.000
1.81500	9.000
1.81667	9.000
1.81833	9.000
1.82000	9.000
1.82167	9.000
1.82333	9.000
1.82500	9.000
1.82667	9.000
1.82833	9.000
1.83000	9.000
1.83167	9.000
1.83333	9.000
1.83500	9.000
1.83667	9.000
1.83833	9.000
1.84000	9.000
1.84167	9.000
1.84333	9.000
1.84500	9.000
1.84667	9.000
1.84833	9.000
1.85000	9.000
1.85167	9.000
1.85333	9.000
1.85500	9.000
1.85667	9.000
1.85833	9.000
1.86000	9.000
1.86167	9.000
1.86333	9.000
1.86500	9.000
1.86667	9.000
1.86833	9.000
1.87000	9.000
1.87167	9.000
1.87333	9.000
1.87500	9.000
1.87667	9.000
1.87833	9.000
1.88000	9.000
1.88167	9.000
1.88333	9.000
1.88500	9.000
1.88667	9.000
1.88833	9.000
1.89000	9.000
1.89167	9.000
1.89333	9.000
1.89500	9.000
1.89667	9.000
1.89833	9.000
1.90000	9.000
1.90167	9.000
1.90333	9.000
1.90500	9.000
1.90667	9.000
1.90833	9.000
1.91000	9.000
1.91167	9.000
1.91333	9.000
1.91500	9.000
1.91667	9.000
1.91833	9.000
1.92000	9.000
1.92167	9.000
1.92333	9.000
1.92500	9.000
1.92667	9.000
1.92833	9.000
1.93000	9.000
1.93167	9.000
1.93333	9.000
1.93500	9.000
1.93667	9.000
1.93833	9.000
1.94000	9.000
1.94167	9.000
1.94333	9.000
1.94500	9.000
1.94667	9.000
1.94833	9.000
1.95000	9.000
1.95167	9.000
1.95333	9.000
1.95500	9.000
1.95667	9.000
1.95833	9.000
1.96000	9.000
1.96167	9.000
1.96333	9.000
1.96500	9.000
1.96667	9.000
1.96833	9.000
1.97000	9.000
1.97167	9.000
1.97333	9.000
1.97500	9.000
1.97667	9.000
1.97833	9.000
1.98000	9.000
1.98167	9.000
1.98333	9.000
1.98500	9.000
1.98667	9.000
1.98833	9.000
1.99000	9.000
1.99167	9.000
1.99333	9.000
1.99500	9.000
1.99667	9.000
1.99833	9.000
2.00000	9.000
2.00167	9.000
2.00333	9.000
2.00500	9.000
2.00667	9.000
2.00833	9.000
2.01000	9.000
2.01167	9.000
2.01333	9.000
2.01500	9.000
2.01667	9.000
2.01833	9.000
2.02000	9.000
2.02167	9.000
2.02333	9.000
2.02500	9.000
2.02667	9.000
2.02833	9.000
2.03000	9.000
2.03167	9.000
2.03333	9.000
2.03500	9.000
2.03667	9.000
2.03833	9.000
2.04000	9.000
2.04167	9.000
2.04333	9.000
2.04500	9.000
2.04667	9.000
2.04833	9.000
2.05000	9.000
2.05167	9.000
2.05333	9.000
2.05500	9.000
2.05667	9.000
2.05833	9.000
2.06000	9.000
2.06167	9.000
2.06333	9.000
2.06500	9.000
2.06667	9.000
2.06833	9.000
2.07000	9.000
2.07167	9.000
2.07333	9.000
2.07500	9.000
2.07667	9.000
2.07833	9.000
2.08000	9.000
2.08167	9.000
2.08333	9.000
2.08500	9.000
2.08667	9.000
2.08833	9.000
2.09000	9.000
2.09167	9.000
2.09333	9.000
2.09500	9.000
2.09667	9.000
2.09833	9.000
2.10000	9.000
2.10167	9.000
2.10333	9.000
2.10500	9.000
2.10667	9.000
2.10833	9.000
2.11000	9.000
2.11167	9.000
2.11333	9.000
2.11500	9.000
2.11667	9.000
2.11833	9.000
2.12000	9.000
2.12167	9.000
2.12333	9.000
2.12500	9.000
2.12667	9.000
2.12833	9.000
2.13000	9.000
2.13167	9.000
2.13333	9.000
2.13500	9.000
2.13667	9.000
2.13833	9.000
2.14000	9.000
2.14167	9.000
2.14333	9.000
2.14500	9.000
2.14667	9.000
2.14833	9.000
2.15000	9.000
2.15167	9.000
2.15333	9.000
2.15500	9.000
2.15667	9.000
2.15833	9.000
2.16000	9.000
2.16167	9.000
2.16333	9.000
2.16500	9.000
2.16667	9.000
2.16833	9.000
2.17000	9.000
2.17167	9.000
2.17333	9.000
2.17500	9.000
2.17667	9.000
2.17833	9.000
2.18000	9.000
2.18167	9.000
2.18333	9.000
2.18500	9.000
2.18667	9.000
2.18833	9.000
2.19000	9.000
2.19167	9.000
2.19333	9.000
2.19500	9.000
2.19667	9.000
2.19833	9.000
2.20000	9.000
2.20167	9.000
2.20333	9.000
2.20500	9.000
2.20667	9.000
2.20833	9.000
2.21000	9.000
2.21167	9.000
2.21333	9.000
2.21500	9.000
2.21667	9.000
2.21833	9.000
2.22000	9.000
2.22167	9.000
2.22333	9.000
2.22500	9.000
2.22667	9.000
2.22833	9.000
2.23000	9.000
2.23167	9.000
2.23333	9.000
2.23500	9.000
2.23667	9.000
2.23833	9.000
2.24000	9.000
2.24167	9.000
2.24333	9.000
2.24500	9.000
2.24667	9.000
2.24833	9.000
2.25000	9.000
2.25167	9.000
2.25333	9.000
2.25500	9.000
2.25667	9.000
2.25833	9.000
2.26000	9.000
2.26167	9.000
2.26333	9.000
2.26500	9.000
2.26667	9.000
2.26833	9.000
2.27000	9.000
2.27167	9.000
2.27333	9.000
2.27500	9.000
2.27667	9.000
2.27833	9.000
2.28000	9.000
2.28167	9.000
2.28333	9.000
2.28500	9.000
2.28667	9.000
2.28833	9.000
2.29000	9.000
2.29167	9.000
2.29333	9.000
2.29500	9.000
2.29667	9.000
2.29833	9.000
2.30000	9.000
2.30167	9.000
2.30333	9.000
2.30500	9.000
2.30667	9.000
2.30833	9.000
2.31000	9.000
2.31167	9.000
2.31333	9.000
2.31500	9.000
2.31667	9.000
2.31833	9.000
2.32000	9.000
2.32167	9.000
2.32333	9.000
2.32500	9.000
2.32667	9.000
2.32833	9.000
2.33000	9.000
2.33167	9.000
2.33333	9.000
2.33500	9.000
2.33667	9.000
2.33833	9.000
2.34000	9.000
2.34167	9.000
2.34333	9.000
2.34500	9.000
2.34667	9.000
2.34833	9.000
2.35000	9.000
2.35167	9.000
2.35333	9.000
2.35500	9.000
2.35667	9.000
2.35833	9.000
2.36000	9.000
2.36167	9.000
2.36333	9.000
2.36500	9.000
2.36667	9.000
2.36833	9.000
2.37000	9.000
2.37167	9.000
2.37333	9.000
2.37500	9.000
2.37667	9.000
2.37833	9.000
2.38000	9.000
2.38167	9.000
2.38333	9.000
2.38500	9.000
2.38667	9.000
2.38833	9.000
2.39000	9.000
2.39167	9.000
2.39333	9.000
2.39500	9.000
2.39667	9.000
2.39833	9.000
2.40000	9.000
2.40167	9.000
2.40333	9.000
2.40500	9.000
2.40667	9.000
2.40833	9.000
2.41000	9.000
2.41167	9.000
2.41333	9.000
2.41500	9.000
2.41667	9.000
2.41833	9.000
2.42000	9.000
2.42167	9.000
2.42333	9.000
2.42500	9.000
2.42667	9.000
2.42833	9.000
2.43000	9.000
2.43167	9.000
2.43333	9.000
2.43500	9.000
2.43667	9.000
2.43833	9.000
2.44000	9.000
2.44167	9.000
2.44333	9.000
2.44500	9.000
2.44667	9.000
2.44833	9.000
2.45000	9.000
2.45167	9.000
2.45333	9.000
2.45500	9.000
2.45667	9.000
2.45833	9.000
2.46000	9.000
2.46167	9.000
2.46333	9.000
2.46500	9.000
2.46667	9.000
2.46833	9.000
2.47000	9.000
2.47167	9.000
2.47333	9.000
2.47500	9.000
2.47667	9.000
2.47833	9.000
2.48000	9.000
2.48167	9.000
2.48333	9.000
2.48500	9.000
2.48667	9.000
2.48833	9.000
2.49000	9.000
2.49167	9.000
2.49333	9.000
2.49500	9.000
2.49667	9.000
2.49833	9.000
2.50000	9.000
2.50167	9.000
2.50333	9.000
2.50500	9.000
2.50667	9.000
2.50833	9.000
2.51000	9.000
2.51167	9.000
2.51333	9.000
2.51500	9.000
2.51667	9.000
2.51833	9.000
2.52000	9.000
2.52167	9.000
2.52333	9.000
2.52500	9.000
2.52667	9.000
2.52833	9.000
2.53000	9.000
2.53167	9.000
2.53333	9.000
2.53500	9.000
2.53667	9.000
2.53833	9.000
2.54000	9.000
2.54167	9.000
2.54333	9.000
2.54500	9.000
2.54667	9.000
2.54833	9.000
2.55000	9.000
2.55167	9.000
2.55333	9.000
2.55500	9.000
2.55667	9.000
2.55833	9.000
2.56000	9.000
2.56167	9.000
2.56333	9.000
2.56500	9.000
2.56667	9.000
2.56833	9.000
2.57000	9.000
2.57167	9.000
2.57333	9.000
2.57500	9.000
2.57667	9.000
2.57833	9.000
2.58000	9.000
2.58167	9.000
2.58333	9.000
2.58500	9.000
